rhog/cm3;Perg/cm3;
3.30E+07;3.83E+24;
6.59E+07;1.01E+25;
1.32E+08;2.60E+25;
2.63E+08;6.68E+25;
3.31E+08;8.74E+25;
5.24E+08;1.63E+26;
8.30E+08;3.03E+26;
1.05E+09;4.13E+26;
1.21E+09;5.04E+26;
1.61E+09;6.86E+26;
2.55E+09;1.27E+27;
4.17E+09;2.36E+27;
6.61E+09;4.36E+27;
8.03E+09;5.66E+27;
1.01E+10;7.70E+27;
1.32E+10;1.05E+28;
1.66E+10;1.43E+28;
2.09E+10;1.94E+28;
2.53E+10;2.50E+28;
3.32E+10;3.40E+28;
4.17E+10;4.63E+28;
5.04E+10;5.95E+28;
6.62E+10;8.09E+28;
8.34E+10;1.10E+29;
9.63E+10;1.45E+29;
3.50E+11;6.22E+29;
3.69E+11;6.43E+29;
3.87E+11;6.58E+29;
4.42E+11;6.99E+29;
5.11E+11;7.47E+29;
5.91E+11;8.01E+29;
6.82E+11;8.64E+29;
7.83E+11;9.37E+29;
8.94E+11;1.02E+30;
1.01E+12;1.11E+30;
1.28E+12;1.34E+30;
1.75E+12;1.78E+30;
2.11E+12;2.15E+30;
2.72E+12;2.86E+30;
3.42E+12;3.75E+30;
4.48E+12;5.27E+30;
5.72E+12;7.23E+30;
7.51E+12;1.04E+31;
9.61E+12;1.45E+31;
1.26E+13;2.09E+31;
1.68E+13;3.07E+31;
2.10E+13;4.16E+31;
2.78E+13;6.02E+31;
3.60E+13;8.46E+31;
4.07E+13;9.93E+31;
4.70E+13;1.20E+32;
5.38E+13;1.44E+32;
6.12E+13;1.72E+32;
6.73E+13;1.96E+32;
7.52E+13;2.30E+32;
8.17E+13;2.60E+32;
8.84E+13;2.93E+32;
9.50E+13;3.28E+32;
1.02E+14;3.65E+32;
1.08E+14;4.05E+32;
1.14E+14;4.37E+32;
1.19E+14;4.70E+32;
1.24E+14;5.05E+32;
1.27E+14;5.29E+32;
1.28E+14;5.37E+32;
1.30E+14;5.38E+32;
1.35E+14;5.83E+32;
1.44E+14;6.68E+32;
1.52E+14;7.64E+32;
1.69E+14;9.91E+32;
1.86E+14;1.27E+33;
2.04E+14;1.61E+33;
2.21E+14;2.00E+33;
2.72E+14;3.59E+33;
3.24E+14;5.97E+33;
3.77E+14;9.28E+33;
4.30E+14;1.37E+34;
4.84E+14;1.93E+34;
5.38E+14;2.62E+34;
5.93E+14;3.47E+34;
6.50E+14;4.47E+34;
7.07E+14;5.65E+34;
7.65E+14;7.00E+34;
8.25E+14;8.56E+34;
8.85E+14;1.03E+35;
9.47E+14;1.23E+35;
1.01E+15;1.45E+35;
1.07E+15;1.69E+35;
1.14E+15;1.96E+35;
1.21E+15;2.26E+35;
1.28E+15;2.58E+35;
1.35E+15;2.93E+35;
1.47E+15;3.57E+35;
1.60E+15;4.30E+35;
1.73E+15;5.11E+35;
1.87E+15;6.02E+35;
2.01E+15;7.02E+35;
2.16E+15;8.11E+35;
2.48E+15;1.06E+36;
2.83E+15;1.35E+36;
3.20E+15;1.69E+36;
3.61E+15;2.07E+36;
4.05E+15;2.49E+36;
